,path,image,label
0,Data/COVID-19/COVID-19 (1).png,1,COVID-19
1,Data/COVID-19/COVID-19 (2).png,2,COVID-19
2,Data/COVID-19/COVID-19 (3).png,3,COVID-19
3,Data/COVID-19/COVID-19 (4).png,4,COVID-19
4,Data/COVID-19/COVID-19 (5).png,5,COVID-19
5,Data/COVID-19/COVID-19 (6).png,6,COVID-19
6,Data/COVID-19/COVID-19 (7).png,7,COVID-19
7,Data/COVID-19/COVID-19 (8).png,8,COVID-19
8,Data/COVID-19/COVID-19 (9).png,9,COVID-19
9,Data/COVID-19/COVID-19 (10).png,10,COVID-19
10,Data/COVID-19/COVID-19 (11).png,11,COVID-19
11,Data/COVID-19/COVID-19 (12).png,12,COVID-19
12,Data/COVID-19/COVID-19 (13).png,13,COVID-19
13,Data/COVID-19/COVID-19 (14).png,14,COVID-19
14,Data/COVID-19/COVID-19 (15).png,15,COVID-19
15,Data/COVID-19/COVID-19 (16).png,16,COVID-19
16,Data/COVID-19/COVID-19 (17).png,17,COVID-19
17,Data/COVID-19/COVID-19 (18).png,18,COVID-19
18,Data/COVID-19/COVID-19 (19).png,19,COVID-19
19,Data/COVID-19/COVID-19 (20).png,20,COVID-19
20,Data/COVID-19/COVID-19 (21).png,21,COVID-19
21,Data/COVID-19/COVID-19 (22).png,22,COVID-19
22,Data/COVID-19/COVID-19 (23).png,23,COVID-19
23,Data/COVID-19/COVID-19 (24).png,24,COVID-19
24,Data/COVID-19/COVID-19 (25).png,25,COVID-19
25,Data/COVID-19/COVID-19 (26).png,26,COVID-19
26,Data/COVID-19/COVID-19 (27).png,27,COVID-19
27,Data/COVID-19/COVID-19 (28).png,28,COVID-19
28,Data/COVID-19/COVID-19 (29).png,29,COVID-19
29,Data/COVID-19/COVID-19 (30).png,30,COVID-19
30,Data/COVID-19/COVID-19 (31).png,31,COVID-19
31,Data/COVID-19/COVID-19 (32).png,32,COVID-19
32,Data/COVID-19/COVID-19 (33).png,33,COVID-19
33,Data/COVID-19/COVID-19 (34).png,34,COVID-19
34,Data/COVID-19/COVID-19 (35).png,35,COVID-19
35,Data/COVID-19/COVID-19 (36).png,36,COVID-19
36,Data/COVID-19/COVID-19 (37).png,37,COVID-19
37,Data/COVID-19/COVID-19 (38).png,38,COVID-19
38,Data/COVID-19/COVID-19 (39).png,39,COVID-19
39,Data/COVID-19/COVID-19 (40).png,40,COVID-19
40,Data/COVID-19/COVID-19 (41).png,41,COVID-19
41,Data/COVID-19/COVID-19 (42).png,42,COVID-19
42,Data/COVID-19/COVID-19 (43).png,43,COVID-19
43,Data/COVID-19/COVID-19 (44).png,44,COVID-19
44,Data/COVID-19/COVID-19 (45).png,45,COVID-19
45,Data/COVID-19/COVID-19 (46).png,46,COVID-19
46,Data/COVID-19/COVID-19 (47).png,47,COVID-19
47,Data/COVID-19/COVID-19 (48).png,48,COVID-19
48,Data/COVID-19/COVID-19 (49).png,49,COVID-19
49,Data/COVID-19/COVID-19 (50).png,50,COVID-19
50,Data/COVID-19/COVID-19 (51).png,51,COVID-19
51,Data/COVID-19/COVID-19 (52).png,52,COVID-19
52,Data/COVID-19/COVID-19 (53).png,53,COVID-19
53,Data/COVID-19/COVID-19 (54).png,54,COVID-19
54,Data/COVID-19/COVID-19 (55).png,55,COVID-19
55,Data/COVID-19/COVID-19 (56).png,56,COVID-19
56,Data/COVID-19/COVID-19 (57).png,57,COVID-19
57,Data/COVID-19/COVID-19 (58).png,58,COVID-19
58,Data/COVID-19/COVID-19 (59).png,59,COVID-19
59,Data/COVID-19/COVID-19 (60).png,60,COVID-19
60,Data/COVID-19/COVID-19 (61).png,61,COVID-19
61,Data/COVID-19/COVID-19 (62).png,62,COVID-19
62,Data/COVID-19/COVID-19 (63).png,63,COVID-19
63,Data/COVID-19/COVID-19 (64).png,64,COVID-19
64,Data/COVID-19/COVID-19 (65).png,65,COVID-19
65,Data/COVID-19/COVID-19 (66).png,66,COVID-19
66,Data/COVID-19/COVID-19 (67).png,67,COVID-19
67,Data/COVID-19/COVID-19 (68).png,68,COVID-19
68,Data/COVID-19/COVID-19 (69).png,69,COVID-19
69,Data/COVID-19/COVID-19 (70).png,70,COVID-19
70,Data/COVID-19/COVID-19 (71).png,71,COVID-19
71,Data/COVID-19/COVID-19 (72).png,72,COVID-19
72,Data/COVID-19/COVID-19 (73).png,73,COVID-19
73,Data/COVID-19/COVID-19 (74).png,74,COVID-19
74,Data/COVID-19/COVID-19 (75).png,75,COVID-19
75,Data/COVID-19/COVID-19 (76).png,76,COVID-19
76,Data/COVID-19/COVID-19 (77).png,77,COVID-19
77,Data/COVID-19/COVID-19 (78).png,78,COVID-19
78,Data/COVID-19/COVID-19 (79).png,79,COVID-19
79,Data/COVID-19/COVID-19 (80).png,80,COVID-19
80,Data/COVID-19/COVID-19 (81).png,81,COVID-19
81,Data/COVID-19/COVID-19 (82).png,82,COVID-19
82,Data/COVID-19/COVID-19 (83).png,83,COVID-19
83,Data/COVID-19/COVID-19 (84).png,84,COVID-19
84,Data/COVID-19/COVID-19 (85).png,85,COVID-19
85,Data/COVID-19/COVID-19 (86).png,86,COVID-19
86,Data/COVID-19/COVID-19 (87).png,87,COVID-19
87,Data/COVID-19/COVID-19 (88).png,88,COVID-19
88,Data/COVID-19/COVID-19 (89).png,89,COVID-19
89,Data/COVID-19/COVID-19 (90).png,90,COVID-19
90,Data/COVID-19/COVID-19 (91).png,91,COVID-19
91,Data/COVID-19/COVID-19 (92).png,92,COVID-19
92,Data/COVID-19/COVID-19 (93).png,93,COVID-19
93,Data/COVID-19/COVID-19 (94).png,94,COVID-19
94,Data/COVID-19/COVID-19 (95).png,95,COVID-19
95,Data/COVID-19/COVID-19 (96).png,96,COVID-19
96,Data/COVID-19/COVID-19 (97).png,97,COVID-19
97,Data/COVID-19/COVID-19 (98).png,98,COVID-19
98,Data/COVID-19/COVID-19 (99).png,99,COVID-19
99,Data/COVID-19/COVID-19 (100).png,100,COVID-19
100,Data/COVID-19/COVID-19 (101).png,101,COVID-19
101,Data/COVID-19/COVID-19 (102).png,102,COVID-19
102,Data/COVID-19/COVID-19 (103).png,103,COVID-19
103,Data/COVID-19/COVID-19 (104).png,104,COVID-19
104,Data/COVID-19/COVID-19 (105).png,105,COVID-19
105,Data/COVID-19/COVID-19 (106).png,106,COVID-19
106,Data/COVID-19/COVID-19 (107).png,107,COVID-19
107,Data/COVID-19/COVID-19 (108).png,108,COVID-19
108,Data/COVID-19/COVID-19 (109).png,109,COVID-19
109,Data/COVID-19/COVID-19 (110).png,110,COVID-19
110,Data/COVID-19/COVID-19 (111).png,111,COVID-19
111,Data/COVID-19/COVID-19 (112).png,112,COVID-19
112,Data/COVID-19/COVID-19 (113).png,113,COVID-19
113,Data/COVID-19/COVID-19 (114).png,114,COVID-19
114,Data/COVID-19/COVID-19 (115).png,115,COVID-19
115,Data/COVID-19/COVID-19 (116).png,116,COVID-19
116,Data/COVID-19/COVID-19 (117).png,117,COVID-19
117,Data/COVID-19/COVID-19 (118).png,118,COVID-19
118,Data/COVID-19/COVID-19 (119).png,119,COVID-19
119,Data/COVID-19/COVID-19 (120).png,120,COVID-19
120,Data/COVID-19/COVID-19 (121).png,121,COVID-19
121,Data/COVID-19/COVID-19 (122).png,122,COVID-19
122,Data/COVID-19/COVID-19 (123).png,123,COVID-19
123,Data/COVID-19/COVID-19 (124).png,124,COVID-19
124,Data/COVID-19/COVID-19 (125).png,125,COVID-19
125,Data/COVID-19/COVID-19 (126).png,126,COVID-19
126,Data/COVID-19/COVID-19 (127).png,127,COVID-19
127,Data/COVID-19/COVID-19 (128).png,128,COVID-19
128,Data/COVID-19/COVID-19 (129).png,129,COVID-19
129,Data/COVID-19/COVID-19 (130).png,130,COVID-19
130,Data/COVID-19/COVID-19 (131).png,131,COVID-19
131,Data/COVID-19/COVID-19 (132).png,132,COVID-19
132,Data/COVID-19/COVID-19 (133).png,133,COVID-19
133,Data/COVID-19/COVID-19 (134).png,134,COVID-19
134,Data/COVID-19/COVID-19 (135).png,135,COVID-19
135,Data/COVID-19/COVID-19 (136).png,136,COVID-19
136,Data/COVID-19/COVID-19 (137).png,137,COVID-19
137,Data/COVID-19/COVID-19 (138).png,138,COVID-19
138,Data/COVID-19/COVID-19 (139).png,139,COVID-19
